ob_end_time,id_type,id,ob_hour_count,met_domain_-999me,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
05/01/2014 03:00,WIND,163301,1,HCM,1,19260,1011,230,8,230,13,229,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 02:52,0
05/01/2014 04:00,WIND,163301,1,HCM,1,19260,1011,230,8,230,14,304,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 03:52,0
05/01/2014 05:00,WIND,163301,1,HCM,1,19260,1011,240,7,230,13,438,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 04:52,0
05/01/2014 06:00,WIND,163301,1,HCM,1,19260,1011,230,8,220,15,531,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 05:52,0
05/01/2014 07:00,WIND,163301,1,HCM,1,19260,1011,220,8,230,14,645,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 06:52,0
05/01/2014 08:00,WIND,163301,1,HCM,1,19260,1011,220,8,240,16,653,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 07:52,0
05/01/2014 09:00,WIND,163301,1,HCM,1,19260,1011,200,8,210,19,833,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 08:53,0
05/01/2014 10:00,WIND,163301,1,HCM,1,19260,1011,210,6,200,11,853,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 09:52,0
05/01/2014 11:00,WIND,163301,1,HCM,1,19260,1011,210,8,190,17,1048,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 10:52,0
05/01/2014 12:00,WIND,163301,1,HCM,1,19260,1011,190,6,210,16,1126,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 11:52,0
05/01/2014 13:00,WIND,163301,1,HCM,1,19260,1011,190,10,210,23,1247,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 12:52,0
05/01/2014 14:00,WIND,163301,1,HCM,1,19260,1011,190,13,190,29,1323,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 13:52,0
05/01/2014 15:00,WIND,163301,1,HCM,1,19260,1011,160,9,160,21,1438,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 14:52,0
05/01/2014 16:00,WIND,163301,1,HCM,1,19260,1011,130,11,130,23,1545,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 15:52,0
05/01/2014 17:00,WIND,163301,1,HCM,1,19260,1011,120,11,140,21,1613,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 16:52,0
05/01/2014 18:00,WIND,163301,1,HCM,1,19260,1011,130,6,180,15,1749,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 17:52,0
05/01/2014 19:00,WIND,163301,1,HCM,1,19260,1011,160,7,170,22,1753,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 18:52,0
05/01/2014 20:00,WIND,163301,1,HCM,1,19260,1011,160,8,160,21,1949,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 19:52,0
05/01/2014 21:00,WIND,163301,1,HCM,1,19260,1011,160,12,180,25,2040,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 20:54,0
05/01/2014 22:00,WIND,163301,1,HCM,1,19260,1011,180,11,190,26,2108,6,6,6,6,6,-999,-999,-999,-999,05/01/2014 21:52,0
