# U  POINT_DATA 64516
#  x  y  z  U_x  U_y  U_z  
3504487.5 3730387.5 2 1.368538182 -0.03383632598 -0.007222428806
3504512.5 3730412.5 2 1.364590656 -0.02189893915 -0.003359015713
3504512.5 3730387.5 2 1.36659643 -0.0292360983 -0.006627674777
3504537.5 3730412.5 2 1.361933676 -0.01827352299 -0.003065937191
3504537.5 3730387.5 2 1.364055399 -0.02491271962 -0.006506604679
3504562.5 3730412.5 2 1.35965208 -0.01465444972 -0.00248623193
3504562.5 3730387.5 2 1.361909802 -0.02065192446 -0.006300987085
3504587.5 3730412.5 2 1.357518563 -0.01112186443 -0.002275804996
3504587.5 3730387.5 2 1.359655699 -0.0165219183 -0.006601442933
3504612.5 3730412.5 2 1.355341899 -0.007558958098 -0.001209159206
3504612.5 3730387.5 2 1.357615608 -0.01233614918 -0.006375312424
3504637.5 3730412.5 2 1.352444291 -0.004326145799 -0.0007411978348
3504637.5 3730387.5 2 1.354641305 -0.008584893659 -0.006513894212
3504662.5 3730412.5 2 1.349778601 -0.001423171142 -0.0002241647353
3504662.5 3730387.5 2 1.352101038 -0.005077370165 -0.006619095334
3504687.5 3730412.5 2 1.347234339 0.0007543594745 0.0004207606998
3504687.5 3730387.5 2 1.349451303 -0.001931008454 -0.006057589179
3504712.5 3730412.5 2 1.343328075 0.002246501228 0.002091131441
3504712.5 3730387.5 2 1.34593344 0.0008888866494 -0.003896801132
3504737.5 3730412.5 2 1.337405403 0.003338241013 0.003182909783
3504737.5 3730387.5 2 1.3403525 0.003285835226 -0.002516030953
3504762.5 3730412.5 2 1.330261169 0.003864689388 0.004648581714
3504762.5 3730387.5 2 1.333598766 0.004808781281 -0.0005928210065
3504787.5 3730412.5 2 1.321840994 0.004108293765 0.004892747625
3504787.5 3730387.5 2 1.325184086 0.005195504236 -0.000370966138
3504812.5 3730412.5 2 1.315459102 0.004000409453 0.003902153926
3504812.5 3730387.5 2 1.318371257 0.00428024255 -0.001882370904
3504837.5 3730412.5 2 1.310570839 0.003265701079 0.002979344851
3504837.5 3730387.5 2 1.313164176 0.002341777302 -0.003228983145
3504862.5 3730412.5 2 1.30692533 0.001670506495 0.002214456842
3504862.5 3730387.5 2 1.309300984 -0.0004603218366 -0.004060867473
3504887.5 3730412.5 2 1.303016597 -0.0007190437808 0.001720938656
3504887.5 3730387.5 2 1.304995912 -0.003881878344 -0.004242474978
3504912.5 3730412.5 2 1.299830623 -0.003996415997 0.0009447143506
3504912.5 3730387.5 2 1.300735292 -0.008040980218 -0.003966348852
3504937.5 3730412.5 2 1.297002801 -0.007772542801 0.0003558199132
3504937.5 3730387.5 2 1.295956944 -0.01253014838 -0.003580646457
3504962.5 3730412.5 2 1.295326833 -0.01181814562 -0.0004510515352
3504962.5 3730387.5 2 1.292121741 -0.01720605269 -0.003580771956
3504987.5 3730412.5 2 1.294412736 -0.01591895219 -0.001019292466
3504987.5 3730387.5 2 1.289158641 -0.02170758825 -0.003662318451
3505012.5 3730412.5 2 1.293866387 -0.0201938481 -0.001066877186
3505012.5 3730387.5 2 1.286978958 -0.02604323121 -0.003195056603
3505037.5 3730412.5 2 1.293201707 -0.02457958089 -0.001065282776
3505037.5 3730387.5 2 1.284847116 -0.03019693853 -0.002716959934
3505062.5 3730412.5 2 1.292394281 -0.02931159751 -0.0005792064958
3505062.5 3730387.5 2 1.282322739 -0.03427292153 -0.001629322207
3505087.5 3730412.5 2 1.291256034 -0.03418399027 -0.000159740785
3505087.5 3730387.5 2 1.279727106 -0.03829227824 -0.0007873889202
